"Additional id should not be empty","Das Feld ""Zusätzlicher Ausweis"" sollte nicht leer sein"
"Enable Cache for Not Default Currencies","Cache für Nicht-Standardwährungen aktivieren"
"Enable Highlight on Dynamic Blocks While Generating","Hervorhebung aktivieren für Dynamische Blöcke Während"
"Enable Page Cache Auto Generation","Automatische Erstellung von Cache-Seite aktivieren"
"Full Page Cache Settings","Cache-Einstellungen für Ganze Seite"
"Max. Allowed Page Depth","Max. Erlaubte Seitentiefe"
"Max. Cache Size (Mb)","Max. Cache Größe (Mb) "
