"Additional id should not be empty","ID adicional não deve estar vazio"
"Enable Cache for Not Default Currencies","Ativar Cache para Moedas Não Definidas"
"Enable Highlight on Dynamic Blocks While Generating","Ativar Destaque em Blocos Dinâmicos Gerando ao Mesmo Tempo"
"Enable Page Cache Auto Generation","Ativar Auto Geração de Página de Cache"
"Full Page Cache Settings","Configurações de Página Inteira de Cache"
"Max. Allowed Page Depth","Máx. Permitido de Profundidade de Página"
"Max. Cache Size (Mb)","Máx. Tamanho de cache (Mb)"
