"Additional id should not be empty","Additionele id zou niet leeg moeten zijn"
"Enable Cache for Not Default Currencies","Stel cache beschikbaar voor niet-standaarde muntsoorten"
"Enable Highlight on Dynamic Blocks While Generating","Stel highlighten op dynamische blokken in tijdens genereren"
"Enable Page Cache Auto Generation","Stel pagina-cache automatische generatie in"
"Full Page Cache Settings","Volle pagina-cache waarden"
"Max. Allowed Page Depth","Maximaal toegestane pagina diepte"
"Max. Cache Size (Mb)","Max. cachegrootte (Mb)"
